date,Topic0,Topic1,Topic0.1,Topic1.1,Topic2,Topic3,Topic4,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation,Angry,Happy,Satisfaction,Stress,close,open
9/10/2018,0.40354803,0.596451972,0.217839263,0.403467224,0.086198084,0.08544383,0.227536206,0.011887711,0.007984844,0.04842541,0.306600423,0.079582657,0.268345091,0.208696234,0.068477637,0.146433699,0.946026251,0.869239427,0.079363189,113.57,111.85
9/11/2018,0.337302404,0.662697599,0.235703636,0.356757657,0.102548174,0.155170142,0.165757127,0.010746907,0.006472051,0.048549421,0.323361977,0.073841085,0.284403215,0.188504153,0.064121193,0.110054318,0.939435958,0.864964134,0.088547245,113.33,113.31
9/12/2018,0.874951632,0.125048367,0.046215963,0.05314175,0.026958125,0.830340865,0.044823065,0.012887184,0.003404599,0.053538148,0.193737865,0.208552917,0.35910057,0.124689219,0.044089475,0.020782809,0.943658228,0.981105016,0.221931964,113.85,114.49
9/13/2018,0.705369826,0.294630177,0.117375713,0.136698873,0.028932452,0.535093047,0.207503441,0.010048517,0.00426191,0.045813309,0.228543526,0.157635227,0.313064453,0.183384266,0.057248782,0.074759863,0.932140474,0.931867872,0.162785392,114.99,114.89
9/14/2018,0.504578195,0.495421803,0.213903334,0.178336216,0.071546284,0.300885834,0.263657896,0.009655856,0.006854429,0.054958365,0.307288214,0.105508322,0.248927999,0.206811879,0.059994936,0.144761522,0.965553181,0.86856129,0.08929722,114.57,114.8175
9/15/2018,0.468394377,0.531605624,0.250844287,0.191613041,0.042970814,0.323210303,0.206806739,0.009881192,0.008460573,0.042215825,0.317143681,0.113906513,0.283151597,0.170828441,0.054412185,0.118449275,0.932986009,0.876732652,0.113508564,114.7775,113.95
9/19/2018,0.337429023,0.662570972,0.245081937,0.280514614,0.077916676,0.218135682,0.178351091,0.013263531,0.005687992,0.048976019,0.325564702,0.074146937,0.251264867,0.218251538,0.062844403,0.122392751,0.961324562,0.843540198,0.080192791,113.77,114.23
9/20/2018,0.225198147,0.774801852,0.251139435,0.409389888,0.047222384,0.155426512,0.141134084,0.01317671,0.013284938,0.065882181,0.376103597,0.060270296,0.209181335,0.204718118,0.057382814,0.14071162,0.965186638,0.847632485,0.078493626,115.22,115.26
9/21/2018,0.31355477,0.686445237,0.199899367,0.331415101,0.09773014,0.18063608,0.199107121,0.013288601,0.012613039,0.073661137,0.354193748,0.067163484,0.214467896,0.183812515,0.080799565,0.088268236,0.979978194,0.8330259,0.07248732,114.91,114.97
9/22/2018,0.384970381,0.615029622,0.359695279,0.19318607,0.084508426,0.052662461,0.325434193,0.012687061,0.007728219,0.044041989,0.362053937,0.075276708,0.185666769,0.218515532,0.094029782,0.119682147,0.970875935,0.887838947,0.038216833,114.25,114.68
9/23/2018,0.328361192,0.671638805,0.315639915,0.227710446,0.077301668,0.219579145,0.170197841,0.010731979,0.012162264,0.067985899,0.273871619,0.073709004,0.263848965,0.210209282,0.087480983,0.144768624,0.956152599,0.822809199,0.089189349,113.59,114.1
9/24/2018,0.255923003,0.744076998,0.373490047,0.253411603,0.078411967,0.12997301,0.175812599,0.014034989,0.008634919,0.067668671,0.267439477,0.127005818,0.224950849,0.212261713,0.078003563,0.125499831,0.935015241,0.880131469,0.137315094,112.27,112.64
9/25/2018,0.907366188,0.092633812,0.145855178,0.146687577,0.244260666,0.146964529,0.321247605,0.012578069,0.005989272,0.050657347,0.268649297,0.129565406,0.353888483,0.14625871,0.032413427,0.087706958,0.970290373,0.911553656,0.099770231,111.97,112.27
9/26/2018,0.818412441,0.181587557,0.185606921,0.16931427,0.221505051,0.169899916,0.260349672,0.011995075,0.006121553,0.049563622,0.276862522,0.121784176,0.347412419,0.152244307,0.034016335,0.109458954,0.96750136,0.903936262,0.103730748,111.5,111.43
9/27/2018,0.507119317,0.492880683,0.239736726,0.308700086,0.131498029,0.132338842,0.18772632,0.013004415,0.008313745,0.056188397,0.317779351,0.083405203,0.299790119,0.183576885,0.037941884,0.144368479,0.979434468,0.858812867,0.069850843,111.05,111.54
9/28/2018,0.580641187,0.419358813,0.247958542,0.21409442,0.167459913,0.159012035,0.211475088,0.01397728,0.016547524,0.052944004,0.329296237,0.08416209,0.292727723,0.175939448,0.034405699,0.149635282,0.973565972,0.84973917,0.07239417,111.8,111.6925
9/29/2018,0.544670561,0.455329436,0.2525271,0.255101525,0.170581333,0.110075282,0.217975728,0.011569087,0.007062296,0.055884224,0.340653517,0.087347151,0.299955973,0.158264683,0.039263075,0.094934356,0.984464115,0.862925007,0.068784189,111.5275,111.845
9/30/2018,0.574255875,0.425744121,0.244463592,0.20429094,0.175727152,0.177616622,0.197901699,0.010463025,0.006539935,0.05508746,0.31993523,0.096046549,0.285007193,0.190053435,0.036867175,0.116110512,0.963308066,0.887194488,0.100966913,111.255,112.15
10/1/2018,0.350400901,0.649599103,0.296585072,0.296389879,0.107578759,0.161690662,0.154793545,0.010863273,0.015908908,0.038561599,0.334437459,0.065222546,0.308029088,0.182959342,0.044017791,0.197275395,0.956135261,0.825992449,0.086787575,110.71,110.45
10/2/2018,0.199759567,0.800240432,0.378404207,0.275911054,0.06192301,0.201801563,0.086151406,0.013225735,0.005480009,0.060527647,0.411546723,0.051893955,0.214211533,0.206448852,0.036665542,0.144264069,0.991375991,0.844436319,0.031584713,108.72,109.21
10/3/2018,0.141671065,0.858328937,0.311115342,0.373293245,0.058161643,0.205685721,0.064486689,0.012805217,0.01209146,0.062780192,0.462400896,0.044337786,0.200354357,0.167610722,0.037619354,0.162676785,0.989356783,0.816125429,0.062787064,107.52,106.85
10/4/2018,0.215392371,0.784607627,0.321917844,0.377968589,0.062761919,0.16007948,0.07833225,0.010724641,0.007122183,0.052356169,0.38492363,0.056989786,0.251527233,0.184590849,0.051765501,0.168569464,0.979264619,0.821522551,0.065789561,106.61,106.25
10/5/2018,0.224903681,0.775096319,0.278030919,0.408785419,0.093334648,0.099316591,0.123595864,0.013373434,0.010183697,0.049986933,0.4515961,0.05642904,0.199542241,0.178623147,0.040265398,0.126777806,0.990429881,0.855013095,0.037610905,106.49,106.2775
10/6/2018,0.267598282,0.732401712,0.329621118,0.293821228,0.088012456,0.140888162,0.147657038,0.012723332,0.009278043,0.053562619,0.38354789,0.065382973,0.234172279,0.17505445,0.066278406,0.126895928,0.93634659,0.863337856,0.14610539,106.915,106.305
10/7/2018,0.34800421,0.651995787,0.38830277,0.228825156,0.046724602,0.1727926,0.163354868,0.023682565,0.010857178,0.082139835,0.316050265,0.076565655,0.293128178,0.152403343,0.045172976,0.153244117,0.943452509,0.754296159,0.205751261,107.34,106.36
10/8/2018,0.142298734,0.857701263,0.321313671,0.443129046,0.053108303,0.104298888,0.078150096,0.015668031,0.017152445,0.066048846,0.387867508,0.052330499,0.222983384,0.170287676,0.06766161,0.17015498,0.954967711,0.81611349,0.107851217,108.19,108.68
10/9/2018,0.154121535,0.845878467,0.289923061,0.501095812,0.040589282,0.106380265,0.066817496,0.015670549,0.011756172,0.060645415,0.346598035,0.07206546,0.205486727,0.208689156,0.079088476,0.166761448,0.919798607,0.868148817,0.097554616,108.12,107.59
10/10/2018,0.140849965,0.859150035,0.338874439,0.432194284,0.039355904,0.123454577,0.070977834,0.014078064,0.014510835,0.059461149,0.348230996,0.11521829,0.191147037,0.197102607,0.060251015,0.161452022,0.934985597,0.850825284,0.117386166,107.34,108.21
10/11/2018,0.135462755,0.864537248,0.320840108,0.414715027,0.051748298,0.144154882,0.068541678,0.01154502,0.0081729,0.052225947,0.393279931,0.066955269,0.190712003,0.211396044,0.06571288,0.158434921,0.960739592,0.865444225,0.036222861,105.06,105.3
10/12/2018,0.131507006,0.868492997,0.345554174,0.374575098,0.038856605,0.142484526,0.11153697,0.010527495,0.009791425,0.042067292,0.413680236,0.038256001,0.201463969,0.236959033,0.047254531,0.21606927,0.988773838,0.876454628,0.030235776,105.28,105.275
10/13/2018,0.137670231,0.862329764,0.400429792,0.272237997,0.050182553,0.145505521,0.131644138,0.007696309,0.00347698,0.039677356,0.418163806,0.041524592,0.193996755,0.239858473,0.055605713,0.198457515,0.991404434,0.870531601,0.015146726,105.3675,105.25
10/14/2018,0.168956513,0.831043482,0.450527851,0.285357585,0.040970497,0.124337242,0.098806829,0.020455946,0.019033236,0.090855786,0.330390819,0.072240735,0.220865002,0.200919786,0.045238693,0.176881789,0.908438518,0.770761459,0.172813406,105.455,105.2
10/15/2018,0.151549872,0.848450132,0.364111462,0.258480822,0.049404595,0.186315824,0.147105205,0.011211673,0.012811682,0.075500796,0.365084654,0.059016931,0.243330961,0.185583823,0.047459477,0.166069706,0.975646674,0.813914568,0.087300257,105.63,106.31
10/16/2018,0.169152725,0.83084727,0.335381382,0.325709009,0.06471948,0.188925429,0.090521768,0.013133195,0.006603823,0.044828186,0.44339596,0.058631972,0.229094574,0.159695842,0.044616435,0.12511914,0.988218026,0.865445467,0.056866893,107.39,107.21
10/17/2018,0.130274526,0.869725472,0.281232806,0.454554291,0.042298443,0.181200417,0.058174008,0.01451655,0.009898087,0.065102794,0.40228352,0.041314319,0.206897878,0.214252955,0.045733888,0.140359362,0.995993641,0.845814524,0.056442584,108.31,108.48
10/18/2018,0.133879822,0.866120181,0.350114221,0.396120453,0.038202444,0.149924623,0.06563826,0.009603579,0.005412677,0.049745827,0.410860178,0.050736818,0.230105659,0.1881808,0.055354457,0.168988965,0.974784425,0.864255351,0.049893136,107.93,108.59
